City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
80,Port-Gentil,GA,-0.7193,8.7815,81.46,78,100,8.32,overcast clouds
81,El Limon,VE,10.3059,-67.6321,87.84,40,100,2.26,overcast clouds
82,Nouadhibou,MR,20.931,-17.0347,69.8,68,100,19.57,overcast clouds
83,Marion,US,39.7684,-86.1555,64.0,33,1,3.44,clear sky
84,Shelburne,CA,44.0787,-80.2041,59.0,38,75,6.91,broken clouds
85,Puerto Ayora,EC,-0.7393,-90.3518,82.0,78,40,9.22,light rain
86,Butaritari,KI,3.0707,172.7902,82.94,76,64,14.74,broken clouds
87,Lebu,CL,-37.6167,-73.65,62.35,71,56,13.31,broken clouds
88,Hobyo,SO,5.3505,48.5268,83.08,69,38,13.27,scattered clouds
89,Kavaratti,IN,10.5669,72.642,83.66,71,100,3.76,overcast clouds
90,Tiarei,PF,-17.5333,-149.3333,84.2,70,20,4.61,few clouds
91,San Felipe,VE,10.3399,-68.7425,90.81,44,100,8.68,overcast clouds
92,Chapais,CA,49.7834,-74.8492,48.2,57,90,10.36,overcast clouds
93,Gat,IL,31.61,34.7642,80.01,47,1,6.8,clear sky
94,Saint-Francois,FR,46.4154,3.9054,46.4,71,0,3.44,clear sky
95,San Pablo,PH,14.0669,121.3258,81.0,73,100,5.01,overcast clouds
96,Zaraza,VE,9.3503,-65.3245,99.07,20,98,10.2,overcast clouds
97,Vostok,RU,46.4856,135.8833,31.62,94,30,4.63,scattered clouds
98,Thompson,CA,55.7435,-97.8558,26.6,43,1,13.8,clear sky
99,Victoria,HK,22.2855,114.1577,72.0,76,100,3.0,overcast clouds
100,Virginia Beach,US,36.8529,-75.978,66.2,45,75,10.36,broken clouds
101,Clyde River,CA,70.4692,-68.5914,6.8,85,90,12.66,light snow
102,Kieta,PG,-6.2167,155.6333,79.74,77,65,3.6,broken clouds
103,Maple Creek,CA,49.9168,-109.4848,33.8,100,100,13.8,overcast clouds
104,Lompoc,US,34.6391,-120.4579,80.01,63,0,13.8,clear sky
105,Ribeira Grande,PT,38.5167,-28.7,64.4,82,20,8.05,few clouds
106,Pizarro,CO,4.9533,-77.366,82.53,70,100,4.43,overcast clouds
107,Lensk,RU,60.7253,114.9278,0.34,99,57,3.62,broken clouds
108,Ostersund,SE,63.1792,14.6357,50.0,27,1,6.91,clear sky
109,Kapaa,US,22.0752,-159.319,78.8,61,75,13.8,broken clouds
110,Manokwari,ID,-0.8667,134.0833,77.99,77,99,3.67,overcast clouds
111,Saskylakh,RU,71.9167,114.0833,-4.09,97,96,6.44,overcast clouds
112,Saint George,US,37.1041,-113.5841,71.01,13,1,4.61,clear sky
113,Santa Rosa,PH,14.3122,121.1114,82.4,69,20,6.91,few clouds
114,Palu,ID,-0.8917,119.8707,74.75,88,100,2.42,light rain
115,Birao,CF,10.2849,22.7882,84.81,10,98,5.99,overcast clouds
116,Muros,ES,42.7762,-9.0603,61.0,66,100,1.99,overcast clouds
117,Mount Isa,AU,-20.7333,139.5,68.0,26,6,9.22,clear sky
118,Maba,CN,24.6841,113.5984,62.46,97,100,2.21,overcast clouds
119,Loukhi,RU,66.0764,33.0381,36.52,84,100,6.91,overcast clouds
120,Revelstoke,CA,50.9832,-118.2023,51.8,54,90,3.44,overcast clouds
121,Hithadhoo,MV,-0.6,73.0833,82.4,63,10,5.59,clear sky
122,Diffa,NE,13.3154,12.6113,90.61,7,100,4.59,overcast clouds
123,Antigonish,CA,45.6169,-61.9986,37.99,94,100,4.0,light rain
124,Mulege,MX,26.8833,-111.9833,79.61,31,0,15.7,clear sky
125,Deputatskiy,RU,69.3,139.9,-2.33,95,100,5.88,overcast clouds
126,Yulara,AU,-25.2406,130.9889,51.8,58,0,5.75,clear sky
127,Ahipara,NZ,-35.1667,173.1667,56.71,77,95,3.0,overcast clouds
128,Balezino,RU,57.9796,53.0106,30.04,67,7,9.69,clear sky
