City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
228,Natal,BR,80.6,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
229,Abu Dhabi,AE,80.6,clear sky,24.4667,54.3667,Ramee Garden Hotel Apartments
242,Cabo San Lucas,MX,82.0,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
243,Ambon,ID,77.0,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
249,Salalah,OM,82.4,clear sky,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
253,Porto Novo,BJ,75.2,scattered clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
254,Prachuap Khiri Khan,TH,84.0,scattered clouds,12.2167,99.75,สมบัติยาย
255,Camopi,GF,78.22,broken clouds,3.1655,-52.3158,
262,Puerto Leguizamo,CO,85.44,overcast clouds,-0.1934,-74.7819,la casona de juancho
263,Sibolga,ID,75.45,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
267,Lamu,KE,80.6,scattered clouds,-2.2717,40.902,Lamu House
269,Kudahuvadhoo,MV,83.1,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
271,Sao Joao Da Barra,BR,84.2,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
277,General Pico,AR,79.66,scattered clouds,-35.6566,-63.7568,Hotel Malargue
278,Sao Fidelis,BR,84.2,few clouds,-21.6461,-41.7469,Hotel São José
281,Nouakchott,MR,75.2,clear sky,18.0858,-15.9785,HOTEL IMAN فندق إيمان
283,Carutapera,BR,77.63,overcast clouds,-1.195,-46.02,Lidera
288,Porbandar,IN,80.83,clear sky,21.6422,69.6093,Lords Inn Porbandar
290,Meulaboh,ID,76.44,overcast clouds,4.1363,96.1285,Kost Pria
299,Sao Jose Da Coroa Grande,BR,77.95,overcast clouds,-8.8978,-35.1478,Crôa Mares Hotel
300,Davila,PH,75.29,overcast clouds,18.4726,120.5763,Blue Ridge Beach Resort
